Tamanho_Vetor,Temperatura,Interacao,FO,Trues
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0,430
250,0.00009098131910183547,12900000,0.013145539906103232,1051
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.015023474178403773,1049
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.013145539906103232,1051
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0,430
250,0.00009098131910183547,12900000,0.018779342723004744,1045
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.011267605633802802,1053
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.011267605633802802,1053
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0,430
250,0.00009098131910183547,12900000,0.018779342723004744,1045
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.013145539906103232,1051
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0.0023255813953488857,429
250,0.00009098131910183547,12900000,0.019718309859154903,1044
20,0.00009098131910183547,12900000,0,91
100,0.00009098131910183547,12900000,0,430
250,0.00009098131910183547,12900000,0.010328638497652531,1054
