Tamanho_Vetor,Temperatura,Interacao,FO,Trues
20,0,12900000,0,91
100,0,12900000,0.046511627906976716,410
250,0,12900000,0.07511737089201875,985
20,0,12900000,0,91
100,0,12900000,0.05581395348837215,406
250,0,12900000,0.07230046948356805,988
20,0,12900000,0,91
100,0,12900000,0.051162790697674376,408
250,0,12900000,0.0741784037558686,986
20,0,12900000,0,91
100,0,12900000,0.051162790697674376,408
250,0,12900000,0.06854460093896708,992
20,0,12900000,0,91
100,0,12900000,0.0488372093023256,409
250,0,12900000,0.07230046948356805,988
20,0,12900000,0,91
100,0,12900000,0.051162790697674376,408
250,0,12900000,0.07230046948356805,988
20,0,12900000,0,91
100,0,12900000,0.05348837209302326,407
250,0,12900000,0.07511737089201875,985
20,0,12900000,0,91
100,0,12900000,0.051162790697674376,408
250,0,12900000,0.0741784037558686,986
20,0,12900000,0,91
100,0,12900000,0.046511627906976716,410
250,0,12900000,0.0741784037558686,986
20,0,12900000,0,91
100,0,12900000,0.041860465116279055,412
250,0,12900000,0.06666666666666665,994
